DAY,CO,NO,NO2,O3,SO2
27-Jun-18,0.37,0.00,0.00,77.13,2.08
28-Jun-18,0.40,5.33,16.00,66.96,2.38
29-Jun-18,0.46,7.67,18.21,63.71,2.29
30-Jun-18,0.39,4.29,13.63,78.63,2.13
1-Jul-18,0.35,3.50,12.21,105.67,2.21
2-Jul-18,0.46,5.25,17.79,83.96,2.00
3-Jul-18,0.45,9.46,18.71,78.08,2.08
4-Jul-18,0.55,8.00,21.50,72.92,2.00
5-Jul-18,0.42,7.50,28.46,79.17,2.04
6-Jul-18,0.44,7.83,19.38,81.67,2.00
7-Jul-18,0.34,3.96,12.17,92.04,2.00
8-Jul-18,0.30,3.25,9.25,98.25,2.00
9-Jul-18,0.35,3.79,15.71,93.71,2.04
10-Jul-18,0.44,8.13,18.50,66.21,2.00
11-Jul-18,0.44,9.29,20.63,68.00,2.00
12-Jul-18,0.56,8.50,21.96,72.33,2.00
13-Jul-18,0.46,6.88,21.58,76.88,2.00
14-Jul-18,0.33,3.67,13.75,96.83,2.29
15-Jul-18,0.33,3.67,11.38,98.79,2.38
16-Jul-18,0.37,4.75,15.08,94.54,2.21
17-Jul-18,0.45,4.83,17.08,92.08,2.00
18-Jul-18,0.30,3.69,8.46,97.15,2.08
19-Jul-18,0.31,0.00,0.00,0.00,0.00
20-Jul-18,0.36,0.00,0.00,0.00,0.00
21-Jul-18,0.40,0.00,0.00,0.00,0.00
22-Jul-18,0.51,0.00,0.00,0.00,0.00
23-Jul-18,0.52,5.00,16.20,95.33,2.00
24-Jul-18,0.40,4.61,16.09,79.42,2.00
25-Jul-18,0.37,3.83,12.50,96.38,2.00
26-Jul-18,0.40,3.58,13.92,97.38,2.00
27-Jul-18,0.56,8.42,20.46,77.25,2.00
