Z,LR20,LR40,LR60,LR80,LR100,LR120
60,0,0,0,0,0,0
67.5,-3.16836E-05,-6.33672E-05,-9.50508E-05,-0.000126734,-0.000158418,-0.000190102
75,-3.16608E-05,-6.33216E-05,-9.49824E-05,-0.000126643,-0.000158304,-0.000189965
82.5,-3.1638E-05,-6.3276E-05,-9.4914E-05,-0.000126552,-0.00015819,-0.000189828
90,-3.16152E-05,-6.32304E-05,-9.48456E-05,-0.000126461,-0.000158076,-0.000189691
97.5,-3.15924E-05,-6.31849E-05,-9.47773E-05,-0.00012637,-0.000157962,-0.000189555
105,-3.15697E-05,-6.31394E-05,-9.47091E-05,-0.000126279,-0.000157848,-0.000189418
112.5,-3.15469E-05,-6.30939E-05,-9.46408E-05,-0.000126188,-0.000157735,-0.000189282
120,-3.15242E-05,-6.30484E-05,-9.45726E-05,-0.000126097,-0.000157621,-0.000189145
127.5,-3.11294E-05,-6.2325E-05,-9.3559E-05,-0.000124816,-0.000156088,-0.00018737
135,-3.05223E-05,-6.12157E-05,-9.20084E-05,-0.000122862,-0.000153753,-0.000184669
142.5,-2.96849E-05,-5.96881E-05,-8.98763E-05,-0.000120178,-0.000150551,-0.000180969
150,-2.8638E-05,-5.77807E-05,-8.72172E-05,-0.000116834,-0.000146565,-0.00017637
157.5,-2.70387E-05,-5.48703E-05,-8.31641E-05,-0.000111743,-0.000140502,-0.000169378
165,-2.50081E-05,-5.11779E-05,-7.80263E-05,-0.000105293,-0.000132828,-0.000160536
172.5,-2.25942E-05,-4.67919E-05,-7.19275E-05,-9.76435E-05,-0.000123731,-0.000150061
180,-1.96599E-05,-4.14632E-05,-6.45222E-05,-8.83598E-05,-0.000112698,-0.000137364
187.5,-1.64919E-05,-3.57131E-05,-5.65356E-05,-7.83533E-05,-0.000100812,-0.000123694
195,-1.29894E-05,-2.93582E-05,-4.77128E-05,-6.73038E-05,-8.76941E-05,-0.000108613
202.5,-9.68966E-06,-2.33733E-05,-3.94072E-05,-5.69074E-05,-7.53579E-05,-9.44389E-05
210,-6.33525E-06,-1.72902E-05,-3.09677E-05,-4.63468E-05,-6.28316E-05,-8.00523E-05
217.5,-3.20644E-06,-1.16169E-05,-2.30985E-05,-3.65032E-05,-5.11603E-05,-6.66538E-05
225,2.68742E-08,-5.75362E-06,-1.49664E-05,-2.63319E-05,-3.91025E-05,-5.28142E-05
232.5,2.76815E-06,-7.81885E-07,-8.07149E-06,-1.77104E-05,-2.88859E-05,-4.10932E-05
240,5.19008E-06,3.61198E-06,-1.97779E-06,-1.00918E-05,-1.986E-05,-3.07419E-05
247.5,7.38753E-06,7.60031E-06,3.55432E-06,-3.17554E-06,-1.16674E-05,-2.13483E-05
255,9.2322E-06,1.09506E-05,8.2025E-06,2.63542E-06,-4.78561E-06,-1.34605E-05
262.5,1.07899E-05,1.3782E-05,1.21323E-05,7.54848E-06,1.0318E-06,-6.79486E-06
270,1.23153E-05,1.65566E-05,1.59846E-05,1.23659E-05,6.73671E-06,-2.57712E-07
