Z,N1,M1,N3,M3,N5,M5
60,3.04E-08,7.99E-06,4.18E-09,1.59E-06,2.56E-09,1.59E-06
67.5,2.19E-08,7.97E-06,3.89E-09,1.58E-06,2.38E-09,1.58E-06
75,1.12E-07,7.96E-06,1.40E-08,1.58E-06,3.01E-09,1.58E-06
82.5,1.36E-08,7.94E-06,-1.38E-08,1.58E-06,4.07E-09,1.58E-06
90,4.48E-08,7.93E-06,4.00E-08,1.58E-06,5.68E-09,1.58E-06
97.5,7.56E-08,7.92E-06,-4.06E-08,1.58E-06,9.32E-09,1.58E-06
105,-6.31E-08,7.90E-06,5.45E-08,1.58E-06,1.57E-08,1.58E-06
112.5,1.98E-07,7.89E-06,-1.84E-08,1.57E-06,4.22E-08,1.57E-06
120,-6.71E-08,7.87E-06,5.96E-08,1.57E-06,8.94E-08,1.57E-06
127.5,3.15E-07,7.86E-06,1.06E-07,1.57E-06,1.52E-07,1.57E-06
135,3.75E-07,7.85E-06,1.20E-07,1.57E-06,2.18E-07,1.57E-06
142.5,7.89E-07,7.83E-06,1.65E-07,1.57E-06,2.76E-07,1.57E-06
150,1.06E-06,7.82E-06,2.22E-07,1.57E-06,3.31E-07,1.57E-06
157.5,1.37E-06,7.81E-06,2.05E-07,1.57E-06,3.85E-07,1.57E-06
165,1.43E-06,7.79E-06,3.22E-07,1.56E-06,4.56E-07,1.56E-06
172.5,1.74E-06,7.78E-06,4.50E-07,1.56E-06,5.54E-07,1.56E-06
180,1.96E-06,7.76E-06,5.66E-07,1.56E-06,6.81E-07,1.56E-06
187.5,2.30E-06,7.75E-06,8.71E-07,1.56E-06,8.27E-07,1.56E-06
195,3.24E-06,7.74E-06,1.11E-06,1.56E-06,9.67E-07,1.56E-06
202.5,3.74E-06,7.72E-06,1.32E-06,1.56E-06,1.11E-06,1.56E-06
210,5.08E-06,7.71E-06,1.61E-06,1.56E-06,1.25E-06,1.56E-06
217.5,6.04E-06,7.70E-06,1.74E-06,1.55E-06,1.36E-06,1.55E-06
225,7.63E-06,7.68E-06,1.92E-06,1.55E-06,1.45E-06,1.55E-06
232.5,8.93E-06,7.67E-06,2.02E-06,1.55E-06,1.55E-06,1.55E-06
240,1.06E-05,7.66E-06,2.16E-06,1.55E-06,1.66E-06,1.55E-06
247.5,1.18E-05,7.64E-06,2.16E-06,1.55E-06,1.76E-06,1.55E-06
255,1.30E-05,7.63E-06,2.34E-06,1.55E-06,1.92E-06,1.55E-06
262.5,1.44E-05,7.62E-06,2.37E-06,1.55E-06,2.00E-06,1.55E-06
270,1.53E-05,7.60E-06,2.43E-06,1.54E-06,2.14E-06,1.54E-06
277.5,1.65E-05,7.59E-06,2.52E-06,1.54E-06,2.27E-06,1.54E-06
285,1.74E-05,7.58E-06,2.61E-06,1.54E-06,2.33E-06,1.54E-06
292.5,1.87E-05,7.56E-06,2.58E-06,1.54E-06,2.42E-06,1.54E-06
300,1.92E-05,7.55E-06,2.74E-06,1.54E-06,2.50E-06,1.54E-06
307.5,2.04E-05,7.54E-06,2.76E-06,1.54E-06,2.61E-06,1.54E-06
315,2.06E-05,7.52E-06,2.76E-06,1.54E-06,2.61E-06,1.54E-06
322.5,2.16E-05,7.51E-06,2.92E-06,1.53E-06,2.67E-06,1.53E-06
330,2.18E-05,7.50E-06,2.83E-06,1.53E-06,2.78E-06,1.53E-06
337.5,2.22E-05,7.48E-06,2.98E-06,1.53E-06,2.88E-06,1.53E-06
345,2.23E-05,7.47E-06,2.94E-06,1.53E-06,3.00E-06,1.53E-06
352.5,2.21E-05,7.46E-06,3.04E-06,1.53E-06,3.03E-06,1.53E-06
360,2.20E-05,7.44E-06,2.97E-06,1.53E-06,3.08E-06,1.53E-06
367.5,2.13E-05,7.43E-06,3.07E-06,1.53E-06,3.16E-06,1.53E-06
375,2.12E-05,7.42E-06,3.08E-06,1.53E-06,3.26E-06,1.53E-06
382.5,2.03E-05,7.41E-06,3.11E-06,1.52E-06,3.34E-06,1.52E-06
390,2.02E-05,7.39E-06,3.21E-06,1.52E-06,3.40E-06,1.52E-06
397.5,1.97E-05,7.38E-06,3.21E-06,1.52E-06,3.49E-06,1.52E-06
405,1.97E-05,7.37E-06,3.24E-06,1.52E-06,3.54E-06,1.52E-06
412.5,1.94E-05,7.35E-06,3.29E-06,1.52E-06,3.64E-06,1.52E-06
