P ,T , Td , RH ,r , WD,(WS σε knot), TH,THE,THV,GH,WS 
1013,29.4,17.4,48,12.5,0,0,301.4,338.5,303.7,15,0
1011,25.8,10.8,39,8.1,26,1,298,322,299.5,32,0.5
1001,26.8,9.8,34,7.7,157,4,299.9,322.7,301.2,116,2.1
1000,26.8,9.8,34,7.7,170,4,299.9,322.9,301.3,124,2.1
970,26.4,3.4,23,5.1,175,10,302.2,317.7,303.1,392,5.1
969,26.4,3.5,23,5.1,175,10,302.2,317.9,303.1,401,5.1
961,26.1,4.1,24,5.4,180,11,302.7,319.2,303.6,474,5.7
957,26,4.4,25,5.5,175,12,302.9,319.8,303.9,511,6.2
935,25.2,6.2,30,6.4,120,10,304.1,323.7,305.3,715,5.1
933,25,6.2,30,6.4,115,10,304.2,323.9,305.3,734,5.1
925,24.4,6.4,31,6.6,80,8,304.2,324.3,305.5,809,4.1
875,20.3,5.9,39,6.7,30,4,304.9,325.4,306.1,1292,2.1
869,19.8,5.8,40,6.7,24,6,304.9,325.5,306.2,1352,3.1
865,19.5,5.7,40,6.7,20,7,305,325.5,306.2,1392,3.6
850,18.2,5.2,42,6.6,350,10,305.2,325.4,306.4,1542,5.1
843,17.7,4.3,41,6.2,345,10,305.4,324.6,306.5,1612,5.1
824,16.2,2,38,5.4,5,15,305.8,322.6,306.8,1805,7.7
804,14.6,-0.5,35,4.6,340,19,306.3,320.7,307.1,2013,9.8
790,13.5,-2.4,33,4.1,340,25,306.6,319.5,307.4,2161,12.9
784,13,-3.1,32,3.9,340,25,306.8,319.1,307.5,2226,12.9
771,11.9,-4.9,31,3.5,15,23,307.1,318.1,307.7,2367,11.8
767,11.6,-5.4,30,3.3,17,22,307.2,317.9,307.8,2411,11.3
755,10.9,-7.7,26,2.9,25,17,307.8,317,308.3,2542,8.7
737,9.8,-11.2,22,2.2,345,12,308.7,316,309.1,2742,6.2
727,9.1,-13.1,19,1.9,340,11,309.2,315.6,309.6,2855,5.7
703,7.6,-18,14,1.3,330,13,310.5,315,310.7,3134,6.7
700,7.4,-18.6,14,1.3,345,13,310.6,315,310.9,3169,6.7
694,7.2,-22,10,0.9,0,13,311.2,314.5,311.4,3240,6.7
679,6.7,-30.6,5,0.4,345,13,312.6,314.2,312.7,3419,6.7
676,6.6,-32.4,4,0.4,347,13,312.9,314.2,312.9,3455,6.7
656,4.9,-34.9,4,0.3,0,13,313.6,314.8,313.7,3694,6.7
645,3.9,-36.4,3,0.3,340,14,314,315.1,314.1,3828,7.2
616,1.3,-40.3,3,0.2,335,17,315.2,315.9,315.2,4194,8.7
596,-0.6,-43.1,2,0.1,20,16,316,316.5,316,4456,8.2
571,-3.1,-46.7,2,0.1,25,12,317,317.4,317,4796,6.2
552,-5,-49.6,2,0.1,335,8,317.8,318.1,317.8,5065,4.1
535,-6.8,-52.2,1,0.1,295,10,318.5,318.7,318.5,5314,5.1
511,-9.4,-56.1,1,0,285,10,319.5,319.6,319.5,5679,5.1
